"ReplicateNameSkyline","Sample","Condition","DilutionFactor"
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_B_1","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_B_1","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_B_2","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_B_2","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_B_3","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_B_3","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_C_1","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_C_1","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_C_2","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_C_2","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_C_3","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT07_C_3","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_B_1","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_B_1","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_B_2","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_B_2","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_B_3","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_B_3","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_C_1","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_C_1","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_C_2","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_C_2","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_C_3","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_CT08_C_3","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_WT_C_1","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_WT_C_1","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_WT_C_2","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_WT_C_2","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_WT_C_3","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_MC38KF-OVA_WT_C_3","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_mTcell_WT_C_1","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_mTcell_WT_C_1","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_mTcell_WT_C_2","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_mTcell_WT_C_2","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_mTcell_WT_C_3","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_mTcell_WT_C_3","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_B_1","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_B_1","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_B_2","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_B_2","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_B_3","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_B_3","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_C_1","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_C_1","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_C_2","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_C_2","All_samples",1
"2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_C_3","2_EX3_UM3_6901174_SA_EXT02_ZH03_APMS_sortedTcell_WT_C_3","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_B_1","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_B_1","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_B_2","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_B_2","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_B_3","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_B_3","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_C_1","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_C_1","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_C_2","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_C_2","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_C_3","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT07_C_3","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_B_1","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_B_1","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_B_2","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_B_2","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_B_3","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_B_3","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_C_1","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_C_1","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_C_2","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_C_2","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_C_3","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_CT08_C_3","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_WT_C_1","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_WT_C_1","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_WT_C_2","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_WT_C_2","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_WT_C_3","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_MC38KF-OVA_WT_C_3","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_mTcell_WT_C_1","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_mTcell_WT_C_1","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_mTcell_WT_C_2","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_mTcell_WT_C_2","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_mTcell_WT_C_3","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_mTcell_WT_C_3","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_B_1","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_B_1","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_B_2","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_B_2","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_B_3","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_B_3","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_C_1","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_C_1","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_C_2","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_C_2","All_samples",1
"5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_C_3","5_EX3_UM3_6901174_SA_EXT02_ZH03_WCL_sortedTcell_WT_C_3","All_samples",1
